koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,2.470613377,122.763305,0.818,1.74319,14230.9,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.964,1
0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,1
0,0,0,0,4.887803076,124.8130808,0.054,2.36255,4315.8,4.82,800.0,96.67,862.3,4778.0,4.591,0.763,1
0,1,0,0,3.849371737,157.526686,0.915,2.632,1298.6,12.94,2034.0,4055.29,132.7,6244.0,3.657,2.992,1
0,0,0,0,4.780327581,132.974086,0.952,2.0253,960.8,7.14,1441.0,1020.05,380.8,5937.0,4.012,1.787,1
0,0,1,1,1.334101467,133.703081,0.153,2.1033,120.8,1.74,2169.0,5207.55,43.0,6178.0,4.106,1.58,0
0,0,0,0,3.213668926,123.611878,0.021,3.98235,727.8,4.13,1515.0,1244.44,346.9,5795.0,4.101,1.545,1
0,0,1,1,1.16015259,121.704645,0.748,1.3433,170.2,1.4,1751.0,2229.29,48.4,5842.0,4.433,0.985,0
0,1,1,0,3.719809197,135.068298,1.279,3.5317,2958.2,87.21,1873.0,2912.21,373.9,6284.0,3.813,2.348,0
0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.451,1
0,1,1,1,3.747838198,171.66504,1.121,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,4.569,0.826,0
0,0,0,0,17.855221681,146.596466,0.075,7.41287,9065.2,13.16,911.0,163.04,915.7,6823.0,4.308,1.367,1
0,1,0,0,1.763587535,120.5659254,0.512,3.16877,4590.6,21.42,3559.0,37958.27,4061.9,9107.0,3.867,3.031,1
0,1,0,0,2.947376671,171.522978,2.641,2.0911,433.2,403.59,2404.0,7903.84,62.3,8090.0,4.002,2.234,0
0,1,1,1,3.012476582,135.259271,1.261,3.1424,1138.5,65.25,2371.0,7471.65,253.4,8601.0,4.137,2.031,0
0,1,1,1,0.895277575,133.411986,0.928,2.711,534.5,9.27,4253.0,77480.31,132.1,8040.0,3.707,3.325,0
0,0,0,0,3.234699282,121.4865708,0.079,3.59385,10558.7,13.06,1356.0,797.62,3003.8,5640.0,4.236,1.291,1
0,1,0,0,3.548465446,122.9014315,0.075,4.56904,7251.5,14.92,1640.0,1708.28,2486.5,6290.0,4.074,1.746,1
0,1,0,0,1.20320092,133.929836,1.274,1.9197,2807.1,49.25,2124.0,4809.16,250.8,6218.0,4.198,1.349,0
0,0,0,0,4.437962934,171.0091259,0.069,4.69813,16387.6,18.05,1338.0,757.65,3535.6,5953.0,4.175,1.415,1
0,1,1,0,4.288515468,121.97268,1.283,2.2959,3456.7,76.51,1722.0,2081.57,292.1,6378.0,3.878,2.002,0
0,0,0,0,7.891448838,177.2499624,0.306,4.2854,10344.6,12.63,1028.0,263.54,1955.1,5972.0,4.313,1.237,1
0,1,0,0,4.693305543,136.8627229,0.23,5.17249,14522.9,17.85,1389.0,881.73,1765.2,6365.0,4.22,1.47,0
0,1,1,1,2.086075752,170.965627,0.914,2.2647,3657.8,10.3,1845.0,2747.42,102.2,6131.0,4.071,1.417,0
0,1,0,0,3.132604547,136.010454,1.251,3.6337,9969.2,48.73,1444.0,1028.81,222.3,6248.0,4.328,1.181,0
0,1,1,1,15.03946326,144.137461,0.902,5.1008,5237.7,12.36,962.0,202.6,181.6,6501.0,4.212,1.441,0
1,0,0,0,1.141877248,170.3386848,0.598,4.33931,309490.0,88.62,2184.0,5358.79,2036.3,6158.0,4.152,1.368,0
0,1,0,0,4.100870416,168.1460533,0.938,8.15361,123521.0,82.46,1413.0,939.61,2619.2,5923.0,4.118,1.51,0
0,1,0,0,0.925589891,169.69275,0.616,1.967,400.8,50.6,6637.0,460202.18,20.6,4094.0,1.627,24.488,0
0,1,0,0,0.366197145,133.55969,0.319,1.2335,275.3,51.34,9983.0,2335438.28,16.7,4448.0,1.694,31.5,0
0,0,0,0,12.81590421,122.94682,0.58,6.3856,220.5,2.26,939.0,183.68,106.7,5788.0,4.122,1.474,1
0,0,0,0,6.88707073,133.17797,0.696,4.4679,68.7,1.3,1155.0,420.97,38.2,5788.0,4.122,1.474,1
0,0,0,0,35.3331932,153.98249,0.656,5.966,99.7,1.55,670.0,47.52,28.8,5788.0,4.122,1.474,1
0,0,0,0,17.83367834,181.233943,0.013,4.5112,326.9,2.43,866.0,132.94,154.5,6407.0,4.268,1.337,1
0,1,1,1,11.32029599,177.08388,0.914,4.5866,4303.5,8.02,811.0,102.12,85.0,5780.0,4.438,1.0,0
0,1,0,0,66.46746217,160.47651,0.116,19.6638,12643.7,11.97,466.0,11.18,1049.3,5843.0,4.403,1.073,0
0,1,0,0,6.397185875,174.365353,0.755,5.8638,18887.0,15.02,981.0,218.59,394.7,5780.0,4.438,1.0,0
0,0,0,0,3.487688776,170.932217,0.026,3.83661,1298.8,5.64,1445.0,1033.07,350.6,5576.0,4.065,1.593,1
0,0,0,0,6.02977241,132.48162,0.379,3.961,54.6,1.18,1204.0,496.46,11.5,5576.0,4.065,1.593,1
0,1,0,0,23.836808884,173.7759431,1.008,6.02854,29684.7,59.31,919.0,168.28,2793.4,6095.0,3.894,1.94,0
0,0,0,0,8.31377304,175.99137,0.002,2.964,837.4,2.74,886.0,145.51,19.6,5900.0,4.509,0.951,1
0,1,0,0,10.431146765,133.936337,1.225,3.8853,29375.6,50.44,833.0,114.02,400.2,5780.0,4.438,1.0,0
0,1,0,0,2.98786272,168.011233,0.621,2.5814,42789.0,17.82,1064.0,303.15,98.0,5231.0,4.544,0.821,0
0,1,1,0,3.388887193,172.259054,0.387,2.4475,11267.8,10.72,1212.0,511.3,162.9,5780.0,4.438,1.0,0
